advertiser,year,month,amount_usd,avisos,status
1001 TALLERES,2026,2,2901.29,10,verificado
10K RUTAS DE LAS IGLESIAS,2026,4,5742.92,7,verificado
1405 GINO,2026,1,50.64,2,verificado
1405 GINO,2026,5,79.37,1,verificado
1405 GINO,2026,6,76.24,2,verificado
1700 CORTINAS,2026,4,5.73,1,verificado
180 PRODUCCIONES,2026,2,95.33,11,verificado
1XBET,2026,2,8147.3,159,verificado
1XBET,2026,3,8934.33,507,verificado
1XBET,2026,4,18360.18,492,verificado
1XBET,2026,5,12522.1,212,verificado
1XBET,2026,6,683.06,28,verificado
20TH CENTURY FOX,2026,3,329.99,27,verificado
21 GRAMOS,2026,2,402.2,2,verificado
21 GRAMOS,2026,3,822.68,5,verificado
21 GRAMOS,2026,5,511.89,2,verificado
220 V,2026,2,7800.52,23,verificado
220 V,2026,3,20177.31,84,verificado
220 V,2026,4,23561.59,77,verificado
220 V,2026,5,18551.24,63,verificado
220 V,2026,6,560.04,2,verificado
227 PAN Y CAFE,2026,1,5.92,1,verificado
227 PAN Y CAFE,2026,3,5.92,1,verificado
300 RESTO,2026,4,402.2,2,verificado
361,2026,4,5027.5,21,verificado
361,2026,5,255.95,1,verificado
3D BOX,2026,2,427.8,23,verificado
3D BOX,2026,3,409.2,22,verificado
3D BOX,2026,4,385.13,18,verificado
3D BOX,2026,5,128.38,6,verificado
4 RIDERS,2026,2,1407.71,7,verificado
4 RIDERS,2026,3,863.81,6,verificado
4 RIDERS,2026,4,150.83,3,verificado
4 RIDERS,2026,5,2559.45,10,verificado
593 (CERVEZA),2026,2,1800.12,5,verificado
593 (CERVEZA),2026,3,372.55,2,verificado
593 (CERVEZA),2026,4,992.08,4,verificado
593 SECURITY,2026,5,965.25,1,verificado
7 DAYS,2026,1,70739.71,1454,verificado
7 DAYS,2026,2,58165.15,1602,verificado
7 DAYS,2026,3,65345.92,1390,verificado
7 DAYS,2026,4,65313.46,1762,verificado
7 PINGAS,2026,2,1101.17,4,verificado
7 PINGAS,2026,3,329.07,2,verificado
A.E.R.,2026,1,6430.16,1057,verificado
A.E.R.,2026,2,4228.62,687,verificado
A.E.R.,2026,3,4334.29,750,verificado
A.E.R.,2026,4,7125.82,713,verificado
A.E.R.,2026,5,6513.8,626,verificado
A.E.R.,2026,6,356.53,31,verificado
A/C CHICHO,2026,1,52.71,14,verificado
A2 CAPACITACION,2026,3,164.54,1,verificado
A92,2026,2,402.2,2,verificado
A92,2026,3,329.07,2,verificado
A92,2026,4,402.2,2,verificado
AB. JEAN PIERRE BONAFONT,2026,1,72.7,7,verificado
AB. JEAN PIERRE BONAFONT,2026,2,61.5,6,verificado
AB. JEAN PIERRE BONAFONT,2026,4,11.2,1,verificado
ABASPIRAT,2026,5,690.59,61,verificado
ABASPIRAT,2026,6,44.0,4,verificado
ABC DERM,2026,3,2496.17,12,verificado
ABC DERM,2026,4,4216.27,12,verificado
ABC DERM,2026,5,13440.91,46,verificado
ABEL OLIVES,2026,1,241.6,29,verificado
ABEL OLIVES,2026,2,237.2,28,verificado
ABEL OLIVES,2026,3,94.0,11,verificado
ABRILAR,2026,1,3459.33,203,verificado
ABRILAR,2026,2,9529.52,616,verificado
ABRILAR,2026,3,3346.54,39,verificado
ABRILAR,2026,4,1326.79,14,verificado
ABRILAR,2026,5,3246.55,15,verificado
ABSOLUT SPORT,2026,1,607.67,79,verificado
ABSOLUT SPORT,2026,2,867.36,110,verificado
ABSOLUT SPORT,2026,3,988.51,127,verificado
ABSOLUT SPORT,2026,4,1671.19,111,verificado
ABSOLUT SPORT,2026,5,1599.12,106,verificado
AC DELCO,2026,3,6792.86,36,verificado
AC DELCO,2026,4,15484.54,60,verificado
AC DELCO,2026,5,12670.53,43,verificado
AC DELCO,2026,6,535.96,2,verificado
ACAD. DE DEFENSA BIDOKAN,2026,2,896.25,1,verificado
ACAD. NAVAL ALMIRANTE ILLINGWORTH,2026,2,1885.8,409,verificado
ACAD. NAVAL ALMIRANTE ILLINGWORTH,2026,3,2734.03,445,verificado
ACAD. NAVAL ALMIRANTE ILLINGWORTH,2026,4,2676.05,233,verificado
ACAD. NAVAL ALMIRANTE ILLINGWORTH,2026,5,3256.33,273,verificado
ACAD. NAVAL ALMIRANTE ILLINGWORTH,2026,6,274.39,24,verificado
ACAD. NAVAL COMAND. FCO. PITA PITA,2026,4,8.96,1,verificado
ACADEMIA ASTILLERO FC,2026,3,16.4,2,verificado
ACADEMIA ASTILLERO FC,2026,4,80.64,8,verificado
ACCESORIA,2026,3,164.54,1,verificado
ACCU-CHEK,2026,2,4407.93,17,verificado
ACCU-CHEK,2026,3,12368.32,70,verificado
ACCU-CHEK,2026,4,12226.83,51,verificado
ACCU-CHEK,2026,5,14182.79,54,verificado
ACCU-CHEK,2026,6,280.02,1,verificado
ACERIMALLAS,2026,4,230.4,24,verificado
ACERIMALLAS,2026,5,86.4,9,verificado
ACEROCENTER CIA. LTDA.,2026,3,1316.29,8,verificado
ACEROCENTER CIA. LTDA.,2026,4,3217.6,13,verificado
ACEROCENTER CIA. LTDA.,2026,5,5886.74,22,verificado
ACEROGAR,2026,2,1200.09,4,verificado
ACEROGAR,2026,5,350.03,2,verificado
ACEROGAR,2026,6,280.02,1,verificado
ACEROS AREQUIPA,2026,2,1707.73,8,verificado
ACEROS AREQUIPA,2026,3,2312.88,13,verificado
ACEROS AREQUIPA,2026,4,402.2,2,verificado
ACEROS AREQUIPA,2026,5,3107.18,16,verificado
ACESCO,2026,1,50.85,9,verificado
ACESCO,2026,2,804.41,4,verificado
ACESCO,2026,3,493.61,3,verificado
ACIMCO,2026,2,4523.15,22,verificado
ACIMCO,2026,3,2797.09,13,verificado
ACITIP NF,2026,4,76.16,8,verificado
ACITIP NF,2026,5,423.75,43,verificado
ACITIP NF,2026,6,30.14,3,verificado
ACIUM,2026,4,744.06,3,verificado
ACIUM,2026,5,6694.16,24,verificado
ACL,2026,3,329.07,2,verificado
ACOMOTOS,2026,4,1005.51,5,verificado
ACQUA GARDENS,2026,2,201.1,1,verificado
ACRILEX,2026,3,329.07,2,verificado
ACTIVA TU SOFTWARE,2026,4,402.2,2,verificado
ACTIVE LIFE,2026,2,201.1,1,verificado
ACTIVEE PROFESIONAL,2026,3,329.07,2,verificado
ACTIVOX,2026,4,660.24,40,verificado
ACTIVOX,2026,5,12249.73,254,verificado
ACTIVOX,2026,6,260.4,24,verificado
ADCONTA,2026,1,58.13,5,verificado
ADCONTA,2026,2,52.32,4,verificado
ADELCA,2026,2,585.02,34,verificado
ADELCA,2026,3,170.83,2,verificado
ADELCA,2026,4,1005.51,5,verificado
ADELCA,2026,5,4191.42,16,verificado
ADELCA,2026,6,1364.22,1,verificado
ADEN BUSINESS SCHOOL,2026,1,1285.37,214,verificado
ADEN BUSINESS SCHOOL,2026,2,1298.99,219,verificado
ADEN BUSINESS SCHOOL,2026,3,1175.68,197,verificado
ADEN BUSINESS SCHOOL,2026,4,1613.25,123,verificado
ADEN BUSINESS SCHOOL,2026,5,1267.73,98,verificado
ADEN BUSINESS SCHOOL,2026,6,89.32,7,verificado
ADHEPLAST S.A.,2026,1,2468.36,112,verificado
ADHEPLAST S.A.,2026,2,3153.05,112,verificado
ADHEPLAST S.A.,2026,3,2760.92,114,verificado
ADHEPLAST S.A.,2026,4,3652.42,113,verificado
ADHEPLAST S.A.,2026,5,4827.02,115,verificado
ADHEPLAST S.A.,2026,6,299.54,8,verificado
ADIDAS,2026,2,1200.09,4,verificado
ADIDAS,2026,5,560.04,8,verificado
ADIDAS,2026,6,280.02,1,verificado
ADIUM PHARMA,2026,2,1401.19,5,verificado
ADIUM PHARMA,2026,3,16278.8,84,verificado
ADIUM PHARMA,2026,4,2557.75,19,verificado
ADIUM PHARMA,2026,5,5348.16,223,verificado
ADIUM PHARMA,2026,6,969.26,14,verificado
ADMINISTRADORA DEL PACIFICO S.A.,2026,4,303.39,1,verificado
ADPROIN,2026,4,359.64,1,verificado
ADRIANA HOYOS,2026,2,1206.61,6,verificado
ADRIANA HOYOS,2026,3,658.14,4,verificado
ADRIANA HOYOS,2026,4,201.1,1,verificado
ADVANCE CONSULTORA,2026,3,1501.61,1,verificado
ADVANCEVIEW S.A.,2026,4,172.08,1,verificado
ADVENTOURS TRAVEL,2026,5,767.84,3,verificado
AEADE,2026,3,566.35,1,verificado
AERO OM,2026,2,1803.39,7,verificado
AERO OM,2026,3,580.56,3,verificado
AERO OM,2026,4,3252.74,13,verificado
AERO OM,2026,5,535.96,2,verificado
AEROMEXICO,2026,3,965.25,1,verificado
AEROPOSTALE,2026,2,300.02,1,verificado
AEROPOSTALE,2026,3,164.54,1,verificado
AEROPUERTO INTERNACIONAL DE QUITO,2026,3,537.09,3,verificado
AEROPUERTO INTERNACIONAL DE QUITO,2026,5,1960.13,7,verificado
AFRIKANA,2026,6,50.51,4,verificado
AFRODITA,2026,1,58540.2,2034,verificado
AFRODITA,2026,2,69060.36,2066,verificado
AG STUDIO,2026,2,5.92,1,verificado
AGAPANTOS COMPLEJO TURISTICO BAÑOS,2026,2,1778.64,5,verificado
AGAPANTOS COMPLEJO TURISTICO BAÑOS,2026,4,313.06,1,verificado
AGAPANTOS COMPLEJO TURISTICO BAÑOS,2026,5,995.99,3,verificado
AGENCIA CON RESULTADOS,2026,2,15.81,2,verificado
AGENCIA CON RESULTADOS,2026,3,7.91,1,verificado
AGENCIA NACIONAL DE TRANSITO,2026,1,909.15,160,verificado
AGENSITUR,2026,4,402.2,2,verificado
AGLOMERADOS COTOPAXI S. A.,2026,2,5001.42,15,verificado
AGLOMERADOS COTOPAXI S. A.,2026,3,2849.95,13,verificado
AGNUS,2026,2,402.2,2,verificado
AGORA CITY PARK,2026,2,3015.07,7,verificado
AGORA CITY PARK,2026,3,534.74,4,verificado
AGORA CITY PARK,2026,4,1307.16,8,verificado
AGORA CITY PARK,2026,5,255.95,1,verificado
AGREGADOS SAN JOSE S.A,2026,1,705.6,1,verificado
AGRICOLA ANGELA MARIA S.A. (CAAMSA),2026,3,143.4,1,verificado
AGRICOLA BANANERA CLEMENTINA,2026,3,143.4,1,verificado
AGRICOLA BANANERA DEL ECUADOR,2026,3,143.4,1,verificado
AGRICOLA ESPERANZA S.A ( AGRIESPERSA ),2026,4,359.64,1,verificado
AGRICOLA GANADERA S.A.,2026,4,86.04,1,verificado
AGRICOLA LOMA LARGA S.A. (CALOLASA),2026,3,143.4,1,verificado
AGRICOLA RIO VENTANAS S.A. (CARIVESA),2026,3,143.4,1,verificado
AGRIMONT S.A.,2026,3,114.72,1,verificado
AGRIPAC,2026,1,9353.97,624,verificado
AGRIPAC,2026,2,12415.35,436,verificado
AGRIPAC,2026,3,5616.38,82,verificado
AGRIPAC,2026,5,2831.4,2,verificado
AGRO ACEITES S.A.,2026,1,170.27,1,verificado
AGRO ACEITES S.A.,2026,3,448.71,2,verificado
AGRO GALLO,2026,3,156.65,58,verificado
AGRO GALLO,2026,4,398.9,132,verificado
AGRO GALLO,2026,5,384.33,130,verificado
AGRO GALLO,2026,6,32.03,11,verificado
AGRO HUMUS HB,2026,3,67.12,2,verificado
AGRO HUMUS HB,2026,5,34.78,1,verificado
AGRO LINK,2026,3,866.16,5,verificado
AGROANALISIS,2026,3,164.54,1,verificado
AGROBASALTO,2026,1,559.19,54,verificado
AGROBASALTO,2026,6,70.0,6,verificado
AGRODIL HD,2026,1,100.67,4,verificado
AGRODIL HD,2026,2,209.74,8,verificado
AGRODIL HD,2026,3,125.84,5,verificado
